id,posting,category,reasoning
46469380,"CareIgnition | Senior Software Engineer (Generalist) | REMOTE, Chicago (US Only)
Medical billing in America is a black box of fragmented data and inefficiency. At CareIgnition, we are building the transparency layer for healthcare. We transform massive, messy datasets into financial clarity for employers and providers.
We are looking for a pragmatic generalist. You’ll be working across the entire stack: from building customer-facing features in React and Django to architecting data pipelines that process petabytes of medical claims and rates. Crucially, this role involves deep algorithmic and analytical work. You won't just move data; you will implement the logic that makes sense of it.
We value ""generalist"" DNA—engineers who are as comfortable optimizing a SQL query as they are building a clean UI component. If you enjoy solving high-scale data problems that have a direct impact on healthcare affordability, we’d love to talk.
Tech: Python, Django, React, AWS (ECS, Step Functions, Athena), SQL (DuckDB/Polars), Iceberg/Redshift.
If interested, reach to me at vikram.chauhan [at] careignition.com",fullstack,"This posting describes a ""Senior Software Engineer (Generalist)"" role that explicitly requires working ""across the entire stack: from building customer-facing features in React and Django to architecting data pipelines."" While the role involves significant data work, the primary emphasis is on being a generalist engineer who spans both frontend (React, UI components) and backend (Django, data pipelines, API work) development. The tech stack (Python, Django, React, AWS) and the description of needing ""generalist DNA"" for engineers comfortable with both UI components and data optimization indicates this is fundamentally a full-stack position rather than a specialist data engineering role [46469380]."
46134153,"exnaton (climate tech start-up) | Fullstack Engineer (with DevOps focus) | remote (EU) | fulltime
exnaton is a start-up spun out of ETH Zurich, which offers software for renewable energy to utility companies. Our AI billing software enables energy providers to set up energy communities and smart energy tariffs in their distribution areas. Users of our software can track their energy consumption and buy renewable energy from their neighbors, which makes investing in the energy transition simple and fun!
More details about the position here: https://exnaton-ag.jobs.personio.com/job/2122683?language=en&display=en",fullstack,"The job posting explicitly states the position title as ""Fullstack Engineer (with DevOps focus)"". While there is a secondary emphasis on DevOps, the primary role being hired is a fullstack engineer, which encompasses both frontend and backend development. According to the classification guidelines, when a posting lists multiple roles, classification should be based on the FIRST or most prominent role mentioned, which in this case is ""Fullstack Engineer""."
46499752,"Findigs | Full-time | NYC | 3x/week in office (M,T, Th) | findigs.com
At Findigs, we’re transforming the rental experience — making it fairer, stress-free, and more convenient by changing the fundamentals of renting.
We build high-scale applications that streamline renting for millions. Our modern tech stack includes Python, Typescript, Node.js, React, and scalable cloud infrastructure.
We foster a collaborative culture where engineers have high ownership and autonomy, taking features from concept to deployment.
Join our sharp, supportive, and mission-driven team in our newly renovated SoHo/NoHo office.
Open role: Senior Software Engineer —> Apply here (https://jobs.lever.co/findigs/3b39616d-223f-4326-a500-f804c3e18dcf)
Base Salary of $180k - $210k
Pre-IPO Equity
401k Matching up to 4%
Unlimited PTO
Lunch in office every day, home office setup stipend, monthly gym stipend",fullstack,"The job posting describes a Senior Software Engineer role at Findigs that explicitly mentions both frontend (React, Typescript) and backend (Python, Node.js, scalable cloud infrastructure) technologies. The posting emphasizes that engineers take features ""from concept to deployment,"" indicating full-stack responsibility. While the company builds high-scale applications, there is no specific focus on DevOps, ML/AI, data, mobile, or security specializations, making this a general full-stack development position."
46113062,"Stainless | Engineers, EMs, GTM, Former Founders | NYC & SF (onsite) | Full-time
When you npm install openai or pip install anthropic, you’re pulling code generated by Stainless.
We’re building the platform for high-quality, easy-to-use APIs — and companies like OpenAI, Anthropic, and Cloudflare already rely on us.
We’re ~3 years old, ~50 people, with strong revenue, several years of runway, and backing from Sequoia and a16z.
As one of our first 35 engineers, you’ll have real ownership, autonomy to build great products, and a direct hand in shaping the future of how developers consume APIs.
We’re looking for exceptionally productive, thoughtful, and kind people who want to make software development better for everyone.
Learn more & apply → https://stainless.com/jobs?utm_source=YlRQ8pvARO",backend,"The Stainless job posting is for a company that builds ""the platform for high-quality, easy-to-use APIs."" The core technology involves code generation for API client libraries (npm/pip packages) that developers install. While the posting mentions multiple role types (Engineers, EMs, GTM), the primary engineering focus is on backend and API development. The company's fundamental offering is API platform tooling and server-side infrastructure for generating and distributing APIs, making this a backend/API-focused role."
46111186,"Stellar (https://stellarcs.ai) | Founding Software Engineers | Amsterdam, the Netherlands | Full-time | No Visa Sponsorship
Stellar is building the go-to AI voice agent platform for customer support, enabling incredibly human-like customer service over the phone. We're a young and rapidly growing startup that has already proven traction, with a number of well-known companies among our initial customers.
To see some of our AI voice agents in action, see https://www.stellarcs.ai/demo-showcase
We're  looking for founding software engineers to help us scale Stellar's platform globally. As one of the first members of our engineering team, you’ll play a key role in Stellar's journey and have the opportunity to help shape our architecture, engineering culture and product and engineering roadmap.
Tech stack: Go, Node.js, Typescript, React, Next.js, Encore Cloud, GCP
What you’ll do:
- Build performant APIs and backend services in Go and Typescript (Node.js)
- Develop Stellar's frontend in React, TypeScript and NextJS, to allow companies to effectively design, test, deploy and monitor their AI voice agents
- Design a scalable, fault-tolerant system architecture that can handle large volumes of concurrent real-time audio conversations & agent interactions while maintaining low latency
- Work on Stellar's AI agent framework, at the intersection of software engineering and AI engineering
- Design and implement a platform that meets enterprise standards in terms of security, compliance, resilience and data privacy
- Build API integrations with external systems to enhance the capabilities of Stellar's agents
- Help shape the early engineering culture as one of the first hires of a young and growing tech startup
Why join: you'll be joining at a pivotal time in our growth, in a role with a high degree of ownership and strong growth potential. Join a small but talented team, coming from high growth startups and scale-ups such Framer, MessageBird and Adyen.
More details about the role here: https://www.stellarcs.ai/careers/software-engineer
Apply: Send us an email at info@stellarcs.ai, and mention you came from HN. Note that we do not provide visa sponsorship, and will only proceed with candidates who are able to work from our office in Amsterdam (~4 days in-office per week)",fullstack,"The job posting explicitly requires work on both backend and frontend as primary responsibilities. The posting states engineers will ""Build performant APIs and backend services in Go and Typescript (Node.js)"" and separately ""Develop Stellar's frontend in React, TypeScript and NextJS."" Both are listed as core duties for founding software engineers, making this a full-stack development role rather than a backend, frontend, or specialized position."
46466466,"Bliro.io - Privacy Preserving Conversation Intelligence Platform
VC Backed, Seed Staged in Munich Germany.
Open Positions: https://jobs.ashbyhq.com/bliro
Highlights: 
- Founding Product Manager
- iOS / Android Lead Developer
- Founders Associate",other,"The job posting lists multiple open positions, with ""Founding Product Manager"" listed as the first and primary role [https://jobs.ashbyhq.com/bliro]. According to the classification guidelines, when a posting lists multiple roles, classification should be based on the FIRST or most prominent role mentioned. ""Founding Product Manager"" is a product/management role that does not fit into the technical categories (backend, frontend, fullstack, data, ml_ai, devops_sre, mobile, or security), therefore it falls under the ""other"" category which includes product, design, management, and roles that don't fit the above categories."
46467458,"RealStack AI | Senior Software Engineer | NYC | Onsite Full-time | Apply here https://forms.gle/X9CzYDBWSGYZnww57
Commercial Real Estate (CRE) is the world’s largest asset class. The annual transaction volume is 10% of US GDP, yet the industry remains slow and archaic because data is locked in PDFs and Excel files. We are transforming CRE into an AI-native asset class by helping investors understand their own assets better.
*We are hiring in NYC:*
Senior/Staff AI/IE engineer (NYC)
- Architect RAG/prompt systems to parse heterogeneous structured data.
- Develop frameworks connecting LLMs to quantifiable investment decisions.
- Collaborate with finance experts to translate domain knowledge into code.
Senior/Staff Full-stack engineer (NYC)
- Own the infrastructure and UI that power high-value investment decisions.
- Design scalable data pipelines and cloud architecture.
- Tackle complex business logic with domain-driven design.
*Who are you:*
- You build things for fun, obsess over craft, and have a lot of product ideas.
- You have proven experience shipping production software to solve *ambiguous business problems*.
- You have experience with end-to-end NLP/IE and complex data extraction.",ml_ai,"The job posting lists multiple roles, but the FIRST and most prominent role mentioned is ""Senior/Staff AI/IE engineer."" This position explicitly requires architecting RAG/prompt systems, developing frameworks connecting LLMs to investment decisions, and working with end-to-end NLP/IE and complex data extraction. These are core machine learning and AI responsibilities, making this the primary classification despite the secondary full-stack engineer position also being advertised [46467458]."
46513205,"GreenArrow Email | Remote | Full-Time
https://www.greenarrowemail.com/careers/developer
I'm Alex McHale, Lead Developer at GreenArrow Email. We're looking to add an additional developer to our team. The right candidate will have solid Go skills and can ""hit the ground running"" (so sorry for the cliché). Bonus if you're a polyglot who might have skills in Ruby on Rails and JavaScript.
We've put a lot of thought into our job post. Please give it a read. If you think you're a fit, there's a link at the bottom of the post with a form to fill out.",backend,"The posting emphasizes ""solid Go skills"" as the primary requirement, with Ruby on Rails and JavaScript as bonus skills. Go is predominantly a backend/server-side language, and the technology stack (Go, Rails, JavaScript) combined with the emphasis on Go proficiency indicates this is a backend development position rather than frontend, full-stack, or other specializations."
46528371,"Trail of Bits is a cybersecurity research and consulting firm based in Brooklyn, NY. We work with companies like Epic Games, Google, Microsoft, and Zoom on their hardest security problems: smart contract audits, application security, vulnerability research, and more.
We're hiring 10-12 summer interns (June-August) to work on real client projects and research alongside our security engineers in NYC. You'll contribute to software security assessments, tool development, and research that gets published.
What we're looking for:
Strong technical skills: C/C++, Rust, Go, Python, Solidity, etc.
Experience in reverse engineering, appsec, program analysis, smart contracts, or cryptography
NYC interns get the full experience: Summercon, team events, Broadway shows, and more.
Remote available for strong candidates.
Actively reviewing applications and interviewing now.
Apply: https://apply.workable.com/trailofbits/j/0C784B6D41/",security,"This job posting is from Trail of Bits, a cybersecurity research and consulting firm, explicitly hiring interns to work on ""software security assessments, tool development, and research"" alongside security engineers. The required skills emphasize security domains (reverse engineering, appsec, program analysis, smart contracts, cryptography), and the projects center on security work (smart contract audits, application security, vulnerability research). Despite some tool development being involved, the primary role is security engineering."
46466795,"Bevyl | Founding Engineer / AI Engineer | NYC / open to remote | https://bevyl.ai/
Bevyl is a seed-funded startup building AI-powered content creation tools for consumer brands. We're making it possible for brands to produce high-quality social media content at scale without agencies or massive creative teams. The other competitors in the market are laughably bad, and we have a chance to build something really powerful on the cutting edge of what's possible.
You'll work with me (CTO, ex-Airbnb/Loom/Hightouch) to build key parts of our video + AI tooling. Video is hard, and we need to move fast to win. We have real customers, a lot to build, and strong conviction in our space. This is genuinely a very fun project and I'm looking to build my core team.
Stack: TypeScript, React + Tanstack, PostgreSQL, Supabase, AI pipelines. Competitive salary and significant early-stage equity
You: Early startup experience, willingness to hustle, love for product, comfort with ambiguity & startup pace
noah@bevyl.ai",ml_ai,"The posting's primary role is ""Founding Engineer / AI Engineer"" with explicit focus on building ""AI-powered content creation tools"" and ""video + AI tooling."" The tech stack includes ""AI pipelines"" and the company's core mission is AI-powered content generation. While the role requires full-stack capabilities (TypeScript, React, PostgreSQL), the defining characteristic and primary emphasis is on the AI/ML engineering aspect, making this an ml_ai position."
