product,tier_name,lowest_paid_tier_annual_price,research
Notion,Plus,96.0,"{'tier_name': ""The lowest paid tier is named 'Plus' according to Notion's official pricing page [9654e7]. Multiple sources confirm this is the cheapest paid plan, with the Free plan being the only cheaper option."", 'lowest_paid_tier_annual_price': 'The annual price for the Plus plan is $96 per member per year. This is based on the official Notion pricing page [9654e7] which shows the Plus plan costs $8 per member per month when billed annually ($10 per month when billed monthly). The annual calculation is $8 × 12 = $96. The page was last updated on 2026-01-21, making this current pricing information.'}"
Slack,Pro,87.0,"{'tier_name': ""The Pro plan is identified as Slack's lowest paid tier (above the free tier) across multiple sources. The Slack help article on plans and features confirms Pro, Business+, and Enterprise+ as the paid tiers [508e07]. Search results from multiple pricing guides (CloudEagle, Chanty, Spendflo, Tropic) consistently identified Pro as the lowest-cost paid plan."", 'lowest_paid_tier_annual_price': ""Annual price of $87 per user calculated from $7.25/user/month with annual billing, which was cited in multiple sources including Chanty's pricing guide, Tropic's pricing guide, and other third-party pricing aggregators in the Google search results. This represents $7.25 × 12 = $87/user/year. Note: Slack's pricing appears to be per-user/per-month model rather than a flat annual fee, so this represents the annual cost per user. I was unable to verify the exact current 2026 pricing directly from Slack's official pricing page due to technical limitations accessing that page, so this figure is based on recent third-party sources from the search results that indicated consistency around the $7.25/month annual billing rate for the Pro plan.""}"
Asana,Starter,131.88,"{'tier_name': ""The lowest paid tier for Asana is called 'Starter', as confirmed on the official Asana pricing page [43f19e]."", 'lowest_paid_tier_annual_price': 'The Starter tier costs $10.99 per user per month when billed annually [43f19e]. Multiplying by 12 months yields $131.88 annually. The pricing page lists five tiers: Personal (free), Starter, Advanced, Enterprise, and Enterprise+ [43f19e], with Starter being the lowest paid option.'}"
Monday.com,Basic,108.0,"{'tier_name': ""The lowest paid tier is called 'Basic' according to the official Monday.com pricing page [c8a328]. This was confirmed by multiple third-party sources including Capterra, Spendflo, and others which consistently identified Basic as the entry-level paid plan."", 'lowest_paid_tier_annual_price': 'The Basic plan costs $9 per seat per month when billed annually [c8a328]. The annual price for a single seat is calculated as $9 × 12 = $108. This represents the lowest cost to access a paid tier, as the Basic plan requires a minimum of 3 users (totaling $324 annually), but per the task requirement to report the annual price per unit/seat, the calculation is $108 per seat annually. Note: Monday.com uses a per-seat pricing model with a 3-user minimum for paid plans, so the actual minimum spend would be higher, but the per-seat annual rate is $108.'}"
Trello,Standard,60.0,"{'tier_name': ""The name 'Standard' for Trello's lowest paid tier was obtained from Trello's official pricing page [87f13e], which lists Standard as the lowest-cost paid plan at $5 per user per month when billed monthly or $60 per user annually."", 'lowest_paid_tier_annual_price': ""The annual price of $60 USD per user was confirmed from Trello's official pricing page [87f13e]. This represents the Standard tier billed annually. The page also shows this equates to $5 per user per month if billed monthly. The price point was last updated in 2024 according to the source.""}"
Jira,Standard,94.92,"{'tier_name': ""The lowest paid tier for Jira Cloud is named 'Standard' as confirmed on the official Atlassian pricing page [c4cfa0]. This is the cheapest paid plan, with a Free tier available for up to 10 users but not counted as a paid tier."", 'lowest_paid_tier_annual_price': ""The Standard plan costs $7.91 per user per month [c4cfa0, 26b105]. The annual price is calculated as $7.91 × 12 = $94.92 per user per year. This reflects per-user pricing, which is Jira Cloud's standard billing model. The information is current as of January 2026 per the official Atlassian pricing page.""}"
Linear,Basic,120.0,"{'tier_name': ""The lowest paid tier is named 'Basic' according to Linear's official pricing page [95c9e6]."", 'lowest_paid_tier_annual_price': 'The Basic tier costs $10 per user/month when billed yearly. Multiplying by 12 months gives $120 per user annually [95c9e6]. Note: This is a per-user price, as Linear uses per-user billing for all paid tiers.'}"
ClickUp,Unlimited,84.0,"{'tier_name': ""The lowest paid tier is called 'Unlimited' according to ClickUp's official pricing page [780ebd]."", 'lowest_paid_tier_annual_price': ""ClickUp's Unlimited plan costs $7 per user/month when billed yearly, which equals $84 per user/year according to the official pricing page [780ebd]. The pricing structure is per-user, so this represents the annual cost per individual user.""}"
Basecamp,Basecamp Plus,180.0,"{'tier_name': 'Basecamp Plus is identified as the lowest paid tier on the official Basecamp pricing page [bcf611]. This tier costs $15 per user per month and is positioned below the Basecamp Pro Unlimited plan ($299/month billed annually).', 'lowest_paid_tier_annual_price': ""The annual price is calculated by multiplying the monthly per-user rate by 12 months: $15/user/month × 12 = $180/user/year [bcf611]. This is based on the official Basecamp pricing page which clearly states Basecamp Plus costs '$15/user per month' with no mention of a different annual rate. The price is per-user, meaning organizations would pay this amount per team member.""}"
Wrike,Team,120.0,"{'tier_name': ""The Team tier is identified as the lowest paid tier on Wrike's official pricing page dated 2026-01-21 [b89552]. This tier is the first paid plan after the Free tier, which costs $0/user/month."", 'lowest_paid_tier_annual_price': 'The Team tier is priced at $10 per user per month when billed annually [b89552]. To calculate the annual price: $10/month × 12 months = $120 per user per year. This is the standard annual cost before any potential volume discounts or customizations.'}"
