arxiv_id,title
2601.14243v1,Jet-RL: Enabling On-Policy FP8 Reinforcement Learning with Unified Training and Rollout Precision Flow
2601.14242v1,APEX-Agents
2601.14238v1,Spatiotemporal Wildfire Prediction and Reinforcement Learning for Helitack Suppression
2601.14235v1,Opportunities in AI/ML for the Rubin LSST Dark Energy Science Collaboration
2601.14234v1,Q-learning with Adjoint Matching
2601.14232v1,KAGE-Bench: Fast Known-Axis Visual Generalization Evaluation for Reinforcement Learning
2601.14228v1,Attention-Based Offline Reinforcement Learning and Clustering for Interpretable Sepsis Treatment
2601.14226v1,Deep Learning Approaches to Quantum Error Mitigation
2601.14209v1,InT: Self-Proposed Interventions Enable Credit Assignment in LLM Reasoning
2601.14208v1,Rig-Aware 3D Reconstruction of Vehicle Undercarriages using Gaussian Splatting
2601.14196v1,Differentiated Pickup Point Offering for Emission Reduction in Last-Mile Delivery
2601.14175v1,A model of errors in transformers
2601.14173v1,Penalizing Localized Dirichlet Energies in Low Rank Tensor Products
2601.14157v1,ConceptCaps -- a Distilled Concept Dataset for Interpretability in Music Models
2601.14152v1,Lost in the Prompt Order: Revealing the Limitations of Causal Attention in Language Models
2601.14115v1,Riemannian Liquid Spatio-Temporal Graph Network
2601.14112v1,Learning to Explain: Supervised Token Attribution from Transformer Attention Patterns
2601.14099v1,Causal feature selection framework for stable soft sensor modeling based on time-delayed cross mapping
2601.14092v1,Optimizing Energy and Data Collection in UAV-aided IoT Networks using Attention-based Multi-Objective Reinforcement Learning
2601.14087v1,'1'-bit Count-based Sorting Unit to Reduce Link Power in DNN Accelerators
2601.14086v1,Two-Stream temporal transformer for video action classification
2601.14069v1,Unsupervised Video Class-Incremental Learning via Deep Embedded Clustering Management
2601.14054v1,SecureSplit: Mitigating Backdoor Attacks in Split Learning
2601.14053v1,LLMOrbit: A Circular Taxonomy of Large Language Models -From Scaling Walls to Agentic AI Systems
2601.14051v1,Kakugo: Distillation of Low-Resource Languages into Small Language Models
2601.14042v1,Federated Balanced Learning
2601.14033v1,PAC-Private Responses with Adversarial Composition
2601.14031v1,Intermittent time series forecasting: local vs global models
2601.14026v1,Universal Approximation Theorem for Input-Connected Multilayer Perceptrons
2601.14022v1,Credible CO2 Comparisons: A Machine Learning Approach to Vehicle Powertrain Assessment
2601.14001v1,Auditory Brain Passage Retrieval: Cross-Sensory EEG Training for Neural Information Retrieval
2601.14000v1,Group-Invariant Unsupervised Skill Discovery: Symmetry-aware Skill Representations for Generalizable Behavior
2601.13989v1,A universal linearized subspace refinement framework for neural networks
2601.13975v1,Harmonizing the Deep: A Unified Information Pipeline for Robust Marine Biodiversity Assessment Across Heterogeneous Domains
2601.13969v1,Autonomous Knowledge Graph Exploration with Adaptive Breadth-Depth Retrieval
2601.13964v1,RL-BioAug: Label-Efficient Reinforcement Learning for Self-Supervised EEG Representation Learning
2601.13953v1,Differentiable Logic Synthesis: Spectral Coefficient Selection via Sinkhorn-Constrained Composition
2601.13945v1,Efficient Coordination with the System-Level Shared State: An Embodied-AI Native Modular Framework
2601.13935v1,TrackletGPT: A Language-like GPT Framework for White Matter Tract Segmentation
2601.13931v1,Towards Effective Negation Modeling in Joint Audio-Text Models for Music
2601.13926v1,SCG With Your Phone: Diagnosis of Rhythmic Spectrum Disorders in Field Conditions
2601.13920v1,Asymmetric regularization mechanism for GAN training with Variational Inequalities
2601.13897v1,TractRLFusion: A GPT-Based Multi-Critic Policy Fusion Framework for Fiber Tractography
2601.13892v1,Multi-Objective Hierarchical Optimization with Large Language Models
