monthly_downloads,package,days_since_release,research
228023966,pyparsing,0,"{'days_since_release': ""The most recent release of `pyparsing` is version 3.3.2, which was released on 2026-01-21 [12b0eb]. Since today's date is 2026-01-21, the number of days since the last release is 0.""}"
100976609,httplib2,1,"{'days_since_release': ""The last release of 'httplib2' was on January 20, 2026. A search result from 'about 12 hours ago' relative to Jan 21, 2026, indicates a release on Jan 20. Another document query mentioned Jan 13, 2026 [c95d53], but the most recent snippet confirms a newer release 'about 12 hours ago'. Given today is Jan 21, 1 day has passed.""}"
284855054,yandexcloud,2,"{'days_since_release': ""According to the PyPI project history for 'yandexcloud', the latest version (0.374.0) was released on January 19, 2026 [603b89]. Given the current date of January 21, 2026, the number of days since the last release is 2 days.""}"
60533222,multiprocess,2,"{'days_since_release': ""The last release of 'multiprocess' was on January 19, 2026 [fa4555]. Given today's date is January 21, 2026, the number of days since the last release is 2.""}"
263165966,pyarrow,3,"{'days_since_release': 'Today is 2026-01-21. The latest release for pyarrow on PyPI is version 23.0.0, released on Jan 18, 2026 [410b71]. From Jan 18 to Jan 21 is 3 days.'}"
220491817,starlette,3,"{'days_since_release': ""The latest version of starlette on PyPI is 0.52.1, released on Jan 18, 2026 according to the project's PyPI page (https://pypi.org/project/starlette/). With today's date being Jan 21, 2026, the number of days since release is 3.""}"
126965531,poetry-core,3,"{'days_since_release': ""The last release of 'poetry-core' on PyPI is version 2.3.0, which was released on January 18, 2026 [2a2bf0]. Given the current date of January 21, 2026, the number of days since the last release is 3 days.""}"
110493686,dill,3,"{'days_since_release': ""The latest release of the 'dill' package (version 0.4.1) was on January 18, 2026, as seen on the PyPI project page. From January 18, 2026, to January 21, 2026, is 3 days. Although one tool result mentioned January 19 [ea7c0e], the search snippet from pypi.org explicitly lists January 18, which is consistent with typical release indexing. I have used the January 18 date for the calculation.""}"
86688363,black,3,"{'days_since_release': ""The last release of 'black' on PyPI was version 26.1.0, released on January 18, 2026 [7900b8]. Calculated as the difference between today's date (2026-01-21) and the release date (2026-01-18), which is 3 days.""}"
63717753,litellm,3,"{'days_since_release': ""The last release of 'litellm' on PyPI was version 1.81.0, published on January 18, 2026 [5856e7]. Given today's date of January 21, 2026, the number of days since the last release is 3 days.""}"
