fund_name,aum_billions,strategy,research_intensity,outreach_hook
Bridgewater Associates,120,Global Macro,High,Known for systematic research - might value data tools
Citadel,52,Multi-Strategy,Very High,Aggressive talent acquisition - research tools as recruiting edge
Two Sigma,60,Quantitative,Medium,Build vs buy - but may want specialized tools
Pershing Square Capital,12,Activist Value,Very High,Deep research for activist campaigns - ideal fit
AQR Capital Management,98,Factor Investing,Medium,Academic approach - may value research augmentation
D. E. Shaw & Co.,55,Quantitative,Low,Fully systematic - limited research tool needs
Point72 Asset Management,24,Multi-Strategy,High,Cubist data science division - potential integration partner
Renaissance Technologies,55,Quantitative,Low,Pure quant - unlikely to need external research
Elliott Management,56,Activist/Distressed,Very High,Legal and financial deep dives - strong fit
Baupost Group,27,Value/Distressed,Very High,Seth Klarman's research-heavy approach - ideal prospect
